scheduledDeparture,actualDeparture,isDelayed,delaySeconds,destination
2025-07-17T14:01:00+02:00,2025-07-17T14:01:31+02:00,1.0,31.0,Asker
2025-07-17T14:04:00+02:00,2025-07-17T14:07:18+02:00,1.0,198.0,Asker
2025-07-17T14:24:00+02:00,2025-07-17T14:26:35+02:00,1.0,155.0,Asker
2025-07-17T14:31:00+02:00,2025-07-17T14:32:24+02:00,1.0,84.0,Asker
2025-07-17T14:34:00+02:00,2025-07-17T14:34:00+02:00,0.0,0.0,Asker
2025-07-17T14:44:00+02:00,2025-07-17T14:45:40+02:00,1.0,100.0,Asker
2025-07-17T14:54:00+02:00,2025-07-17T14:55:08+02:00,1.0,68.0,Asker
2025-07-17T15:01:00+02:00,2025-07-17T15:01:19+02:00,1.0,19.0,Asker
2025-07-17T15:04:00+02:00,2025-07-17T15:07:30+02:00,1.0,210.0,Asker
2025-07-17T15:24:00+02:00,2025-07-17T15:24:00+02:00,0.0,0.0,Asker
2025-07-17T15:31:00+02:00,2025-07-17T15:31:00+02:00,0.0,0.0,Asker
2025-07-17T15:34:00+02:00,2025-07-17T15:34:00+02:00,0.0,0.0,Asker
2025-07-17T15:44:00+02:00,2025-07-17T15:44:00+02:00,0.0,0.0,Asker
2025-07-17T13:54:00+02:00,2025-07-17T14:00:48+02:00,1.0,408.0,Asker
2026-01-24T11:01:00+01:00,2026-01-24T11:01:00+01:00,0.0,0.0,Spikkestad
2026-01-24T11:04:00+01:00,2026-01-24T11:04:00+01:00,0.0,0.0,Drammen
2026-01-24T11:14:00+01:00,2026-01-24T11:14:00+01:00,0.0,0.0,Asker
2026-01-24T11:24:00+01:00,2026-01-24T11:24:00+01:00,0.0,0.0,Kongsberg
2026-01-24T11:31:00+01:00,2026-01-24T11:31:00+01:00,0.0,0.0,Spikkestad
2026-01-24T11:34:00+01:00,2026-01-24T11:34:00+01:00,0.0,0.0,Drammen
2026-01-24T11:44:00+01:00,2026-01-24T11:44:00+01:00,0.0,0.0,Drammen
2026-01-24T11:54:00+01:00,2026-01-24T11:54:00+01:00,0.0,0.0,Skien
2026-01-24T12:01:00+01:00,2026-01-24T12:01:00+01:00,0.0,0.0,Spikkestad
2026-01-24T12:04:00+01:00,2026-01-24T12:04:00+01:00,0.0,0.0,Drammen
2026-01-24T12:14:00+01:00,2026-01-24T12:14:00+01:00,0.0,0.0,Asker
